,UserID,Date,Change Description,Reason for change
88,dietzkr,2017-09-12 00:00:00,added logic to handle DMZ prime,
89,ortass,2017-09-14 00:00:00,moved DMZ to the bottom of the parameter table,
90,dietzkr,2017-09-20 00:00:00,Removing references to LMS,
91,dietzkr,2017-10-16 00:00:00,Fixed logic for Prime logging server primary and secondary IP's,
92,dietzkr,2017-10-25 00:00:00,Adjusted ACL 66 for AP,
93,dietzkr,2017-11-16 00:00:00,Added IP for collector to ACL 66,
94,dietzkr,2017-11-20 00:00:00,Added new RO string for ACL 88,
95,dietzkr,2017-11-30 00:00:00,Changed RO string for ACL 88,
96,dietzkr,2018-01-04 00:00:00,Changed logic for ACL 67 when DMZ prime was desired.,
97,dietzkr,2018-01-17 00:00:00,Added proper prefix 0 for summer time lookup in Norway (MET) and Sydney (AEST),
98,dietzkr,2018-02-05 00:00:00,Fixed NxOS config for DMZ,
99,dietzkr,2018-02-19 00:00:00,Updated enable and tombstone passwords,
100,dietzkr,2018-03-05 00:00:00,Fixed AKST issue.,
101,dietzkr,2018-03-08 00:00:00,Fix ACL 67 for AK and fix ACL 66 for Norway,
102,dietzkr,2018-04-18 00:00:00,Added new ABZ Network subnet to the global RO ACLs,
103,dietzkr,2018-04-22 00:00:00,No vstack,
104,dietzkr,2018-04-26 00:00:00,Added new Alaska Solarwinds server to ACL 66,
105,dietzkr,2018-05-31 00:00:00,Remove old PRTG server from ACL 66,
106,dietzkr,2018-06-05 00:00:00,Fixed issue related to an extra space on cq9 tacacs server in lookup table,
107,dietzkr,2018-06-13 00:00:00,Moved AUX config to end of template to help avoid SSH key generation failures when configuring switches,
108,dietzkr,2018-09-20 00:00:00,Removed 144.46.136.96/27 from lookup table,
109,dietzkr,2018-10-01 00:00:00,Adding 136.226.90.8 for Alaska regional ACL 66,
110,dietzkr,2018-10-01 00:00:00,Updated enable secret,
111,dietzkr,2018-12-12 00:00:00,Replacing 159.163.198.22 with 159.163.198.22 for AP regions,
112,dietzkr,2019-01-02 00:00:00,Adding LLDP and perpetual poe ha to interface config.,
113,dietzkr,2019-01-14 00:00:00,Adding ISE servers and logic for FENCE ISE servers,
114,dietzkr,2019-01-16 00:00:00,Updated enable password,
115,,2019-03-23 00:00:00,Updated Lookup table with new HOC ISE and removig cgy-nsise2,
116,yeabok,2019-09-17 00:00:00,"Added descriptions to the commands on the Config tabs for L3, L2, and NxOS, as well as to a few commands on the Interfaces tab.",
117,dietzkr,2019-10-07 00:00:00,Updated password,
118,dietzkr,2019-10-18 00:00:00,Updated Alaska DNS servers,
119,dietzkr,2019-10-23 00:00:00,Updated ACL 66 to remove BVLCER1,
120,dietzkr,2020-03-06 00:00:00,Updated Interface standard config,
121,dietzkr,2020-03-28 00:00:00,New enable password.,
122,dietzkr,2020-05-27 00:00:00,Alaska changes for ACL 66 and logging server changes.,
123,dietzkr,6/11/20202,Adding standard device tracking policy to trunk port recommendations,
124,yeabok,2020-06-25 00:00:00,Changed AP TACACS top server,
125,yeabok,2020-07-08 00:00:00,"Per David Li, removed Perth server references from Lookup Table, Netflow, and SNMP reference tabs",
126,yeabok,2020-07-16 00:00:00,Updated enable and tombstone passwords,
127,yeabok,2020-07-20 00:00:00,"Updated TACACS server config to use new ""tacacs server"" style commands for Switch (L2) and Router (L3) configs",
128,yeabok,2020-08-27 00:00:00,Added storm-control commands to access interface config,
129,yeabok,2020-09-30 00:00:00,Removed Aberdeen DNS servers and added GMONS01 to Lookup Table,
130,yeabok,2020-10-16 00:00:00,Edited Norway TDE-CDE DNS servers in the Lookup Table,
131,yeabok,2020-10-28 00:00:00,Fixed logging servers in Lookup Table,
132,yeabok,2020-12-02 00:00:00,Updated enable secret,
133,yeabok,2020-12-09 00:00:00,Added new Houston LogicMonitor collector (158.139.112.117) to SNMP RO section in Lookup Table for all locations except Norway TDE-CDE,
134,yeabok,2021-01-20 00:00:00,"Updated SNMP RO hosts in Lookup Table, and added snmp-host command to L2 and L3 tabs if RegionChoice is ""Norway""",
135,yeabok,2021-01-27 00:00:00,Added AES password encryption commands to L2 and L3 tabs,
136,yeabok,2021-03-22 00:00:00,"Added NEXUS Enable Secret to separate it from the IOS enable secret, as IOS is encrypted level 9 and currently Nexus is encrypted level 5",
137,yeabok,2021-05-18 00:00:00,Updated descriptions on AAA commands,
138,yeabok,2021-05-19 00:00:00,"Removed ""collect interface output"" from Netflow tab as it generates an error and is not needed, as everything matched is also collected.",
139,yeabok,2021-05-19 00:00:00,"Removed ""ip flow-cache"" and ""ip flow-export"" commands from L3 tab as they are already present in the Netflow tab.",
140,yeabok,2021-05-25 00:00:00,"Added 3rd and 4th NTP server to BVL, HOC, ANC, and Canada in Lookup Table. Not sure if those would work for EMEA or AP though.",
141,yeabok,2021-06-16 00:00:00,Added newer command for snmp-server file-transfer (required by newer devices),
142,yeabok,2021-06-21 00:00:00,"Per Tyler Nicholas, adding 10.26.15.10 to SNMP RO list for Alaska in the Lookup Table tab.",
143,yeabok,2021-07-14 00:00:00,Updated tombstone/enable pw,
144,yeabok,2021-08-10 00:00:00,Updated tombstone/enable pw (2021 Security Initiative),
